States,Regions,latitude,longitude,Dates,Usage
Andhra Pradesh,SR,14.7504291,78.57002559,07/01/2019,166.4
Telangana,SR,18.1124,79.0193,07/01/2019,191.9
Karnataka,SR,12.57038129,76.91999711,07/01/2019,217.4
Kerala,SR,8.900372741,76.56999263,07/01/2019,74.9
Tamil Nadu,SR,12.92038576,79.15004187,07/01/2019,294.2
Pondy,SR,11.93499371,79.83000037,07/01/2019,7
Bihar,ER,25.78541445,87.4799727,07/01/2019,75.3
Jharkhand,ER,23.80039349,86.41998572,07/01/2019,23.9
Odisha,ER,19.82042971,85.90001746,07/01/2019,64
West Bengal,ER,22.58039044,88.32994665,07/01/2019,109.3
Sikkim,ER,27.3333303,88.6166475,07/01/2019,1.5
Arunachal Pradesh,NER,27.10039878,93.61660071,07/01/2019,2.2
Assam,NER,26.7499809,94.21666744,07/01/2019,21.4
Manipur,NER,24.79997072,93.95001705,07/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,07/01/2019,6.1
Mizoram,NER,23.71039899,92.72001461,07/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,07/01/2019,2.3
Tripura,NER,23.83540428,91.27999914,07/01/2019,3.3
Punjab,NR,31.51997398,75.98000281,08/01/2019,107.5
Haryana,NR,28.45000633,77.01999101,08/01/2019,121.4
Rajasthan,NR,26.44999921,74.63998124,08/01/2019,237.2
Delhi,NR,28.6699929,77.23000403,08/01/2019,69
UP,NR,27.59998069,78.05000565,08/01/2019,289.4
Uttarakhand,NR,30.32040895,78.05000565,08/01/2019,37
HP,NR,31.10002545,77.16659704,08/01/2019,29.2
J&K,NR,33.45,76.24,08/01/2019,51.2
Chandigarh,NR,30.71999697,76.78000565,08/01/2019,3.8
Chhattisgarh,WR,22.09042035,82.15998734,08/01/2019,74.2
Gujarat,WR,22.2587,71.1924,08/01/2019,307.9
MP,WR,21.30039105,76.13001949,08/01/2019,228.8
Maharashtra,WR,19.25023195,73.16017493,08/01/2019,398.2
Goa,WR,15.491997,73.81800065,08/01/2019,10.9
DNH,WR,20.26657819,73.0166178,08/01/2019,18.1
Andhra Pradesh,SR,14.7504291,78.57002559,08/01/2019,160.8
Telangana,SR,18.1124,79.0193,08/01/2019,190.8
Karnataka,SR,12.57038129,76.91999711,08/01/2019,201
Kerala,SR,8.900372741,76.56999263,08/01/2019,68.2
Tamil Nadu,SR,12.92038576,79.15004187,08/01/2019,279.2
Pondy,SR,11.93499371,79.83000037,08/01/2019,6.5
Bihar,ER,25.78541445,87.4799727,08/01/2019,76.2
Jharkhand,ER,23.80039349,86.41998572,08/01/2019,23.3
Odisha,ER,19.82042971,85.90001746,08/01/2019,63.6
West Bengal,ER,22.58039044,88.32994665,08/01/2019,102.9
Sikkim,ER,27.3333303,88.6166475,08/01/2019,1.6
Arunachal Pradesh,NER,27.10039878,93.61660071,08/01/2019,2.3
Assam,NER,26.7499809,94.21666744,08/01/2019,20.7
Manipur,NER,24.79997072,93.95001705,08/01/2019,2.6
Meghalaya,NER,25.57049217,91.8800142,08/01/2019,6.2
Mizoram,NER,23.71039899,92.72001461,08/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,08/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,08/01/2019,3.3
Punjab,NR,31.51997398,75.98000281,09/01/2019,132.5
Haryana,NR,28.45000633,77.01999101,09/01/2019,148.2
Rajasthan,NR,26.44999921,74.63998124,09/01/2019,197
Delhi,NR,28.6699929,77.23000403,09/01/2019,89.2
UP,NR,27.59998069,78.05000565,09/01/2019,258.6
Uttarakhand,NR,30.32040895,78.05000565,09/01/2019,35.9
HP,NR,31.10002545,77.16659704,09/01/2019,25.3
J&K,NR,33.45,76.24,09/01/2019,37.9
Chandigarh,NR,30.71999697,76.78000565,09/01/2019,3.9
Chhattisgarh,WR,22.09042035,82.15998734,09/01/2019,77.2
Gujarat,WR,22.2587,71.1924,09/01/2019,260
MP,WR,21.30039105,76.13001949,09/01/2019,162.5
Maharashtra,WR,19.25023195,73.16017493,09/01/2019,400.9
Goa,WR,15.491997,73.81800065,09/01/2019,12.1
DNH,WR,20.26657819,73.0166178,09/01/2019,18
Andhra Pradesh,SR,14.7504291,78.57002559,09/01/2019,163
Telangana,SR,18.1124,79.0193,09/01/2019,167.5
Karnataka,SR,12.57038129,76.91999711,09/01/2019,173.6
Kerala,SR,8.900372741,76.56999263,09/01/2019,67.9
Tamil Nadu,SR,12.92038576,79.15004187,09/01/2019,280.4
Pondy,SR,11.93499371,79.83000037,09/01/2019,7.6
Bihar,ER,25.78541445,87.4799727,09/01/2019,56.4
Jharkhand,ER,23.80039349,86.41998572,09/01/2019,19.2
Odisha,ER,19.82042971,85.90001746,09/01/2019,86.6
West Bengal,ER,22.58039044,88.32994665,09/01/2019,131.7
Sikkim,ER,27.3333303,88.6166475,09/01/2019,1.1
Arunachal Pradesh,NER,27.10039878,93.61660071,09/01/2019,2.1
Assam,NER,26.7499809,94.21666744,09/01/2019,25.8
Manipur,NER,24.79997072,93.95001705,09/01/2019,2.3
Meghalaya,NER,25.57049217,91.8800142,09/01/2019,6
Mizoram,NER,23.71039899,92.72001461,09/01/2019,1.7
Nagaland,NER,25.6669979,94.11657019,09/01/2019,2.4
Tripura,NER,23.83540428,91.27999914,09/01/2019,4.2
Punjab,NR,31.51997398,75.98000281,10/01/2019,131.5
Haryana,NR,28.45000633,77.01999101,10/01/2019,157
Rajasthan,NR,26.44999921,74.63998124,10/01/2019,199.9
Delhi,NR,28.6699929,77.23000403,10/01/2019,92.8
UP,NR,27.59998069,78.05000565,10/01/2019,284.2
Uttarakhand,NR,30.32040895,78.05000565,10/01/2019,35.3
HP,NR,31.10002545,77.16659704,10/01/2019,26.5
J&K,NR,33.45,76.24,10/01/2019,31.7
Chandigarh,NR,30.71999697,76.78000565,10/01/2019,3.9
Chhattisgarh,WR,22.09042035,82.15998734,10/01/2019,79
Gujarat,WR,22.2587,71.1924,10/01/2019,268.3
MP,WR,21.30039105,76.13001949,10/01/2019,159.6
Maharashtra,WR,19.25023195,73.16017493,10/01/2019,409.7
Goa,WR,15.491997,73.81800065,10/01/2019,12.1
DNH,WR,20.26657819,73.0166178,10/01/2019,17.8
Andhra Pradesh,SR,14.7504291,78.57002559,10/01/2019,168.8
Telangana,SR,18.1124,79.0193,10/01/2019,173.4
Karnataka,SR,12.57038129,76.91999711,10/01/2019,176
Kerala,SR,8.900372741,76.56999263,10/01/2019,68.9
Tamil Nadu,SR,12.92038576,79.15004187,10/01/2019,290.8
Pondy,SR,11.93499371,79.83000037,10/01/2019,7.9
Bihar,ER,25.78541445,87.4799727,10/01/2019,69.9
Jharkhand,ER,23.80039349,86.41998572,10/01/2019,21.8
Odisha,ER,19.82042971,85.90001746,10/01/2019,78.8
West Bengal,ER,22.58039044,88.32994665,10/01/2019,140.1
Sikkim,ER,27.3333303,88.6166475,10/01/2019,1.1
Arunachal Pradesh,NER,27.10039878,93.61660071,10/01/2019,2.1
Assam,NER,26.7499809,94.21666744,10/01/2019,25.8
Manipur,NER,24.79997072,93.95001705,10/01/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,10/01/2019,6.2
Mizoram,NER,23.71039899,92.72001461,10/01/2019,1.7
Nagaland,NER,25.6669979,94.11657019,10/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,10/01/2019,4.3
Punjab,NR,31.51997398,75.98000281,11/01/2019,130.3
Haryana,NR,28.45000633,77.01999101,11/01/2019,145.3
Rajasthan,NR,26.44999921,74.63998124,11/01/2019,187.7
Delhi,NR,28.6699929,77.23000403,11/01/2019,79.5
UP,NR,27.59998069,78.05000565,11/01/2019,281.4
Uttarakhand,NR,30.32040895,78.05000565,11/01/2019,30.1
HP,NR,31.10002545,77.16659704,11/01/2019,23.9
J&K,NR,33.45,76.24,11/01/2019,37.3
Chandigarh,NR,30.71999697,76.78000565,11/01/2019,3.4
Chhattisgarh,WR,22.09042035,82.15998734,11/01/2019,80.7
Gujarat,WR,22.2587,71.1924,11/01/2019,275
MP,WR,21.30039105,76.13001949,11/01/2019,154.3
Maharashtra,WR,19.25023195,73.16017493,11/01/2019,405.2
Goa,WR,15.491997,73.81800065,11/01/2019,12.1
DNH,WR,20.26657819,73.0166178,11/01/2019,16.9
Andhra Pradesh,SR,14.7504291,78.57002559,11/01/2019,167.7
Telangana,SR,18.1124,79.0193,11/01/2019,166.7
Karnataka,SR,12.57038129,76.91999711,11/01/2019,157
Kerala,SR,8.900372741,76.56999263,11/01/2019,67.4
Tamil Nadu,SR,12.92038576,79.15004187,11/01/2019,270.5
Pondy,SR,11.93499371,79.83000037,11/01/2019,7.1
Bihar,ER,25.78541445,87.4799727,11/01/2019,76.2
Jharkhand,ER,23.80039349,86.41998572,11/01/2019,23.3
Odisha,ER,19.82042971,85.90001746,11/01/2019,78.4
West Bengal,ER,22.58039044,88.32994665,11/01/2019,149.8
Sikkim,ER,27.3333303,88.6166475,11/01/2019,0.8
Arunachal Pradesh,NER,27.10039878,93.61660071,11/01/2019,2.1
Assam,NER,26.7499809,94.21666744,11/01/2019,27.9
Manipur,NER,24.79997072,93.95001705,11/01/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,11/01/2019,6.2
Mizoram,NER,23.71039899,92.72001461,11/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,11/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,11/01/2019,4.3
Punjab,NR,31.51997398,75.98000281,12/01/2019,137.9
Haryana,NR,28.45000633,77.01999101,12/01/2019,151.9
Rajasthan,NR,26.44999921,74.63998124,12/01/2019,189.9
Delhi,NR,28.6699929,77.23000403,12/01/2019,92.6
UP,NR,27.59998069,78.05000565,12/01/2019,298.6
Uttarakhand,NR,30.32040895,78.05000565,12/01/2019,34.7
HP,NR,31.10002545,77.16659704,12/01/2019,26.4
J&K,NR,33.45,76.24,12/01/2019,34.6
Chandigarh,NR,30.71999697,76.78000565,12/01/2019,4
Chhattisgarh,WR,22.09042035,82.15998734,12/01/2019,85.2
Gujarat,WR,22.2587,71.1924,12/01/2019,294.1
MP,WR,21.30039105,76.13001949,12/01/2019,161.1
Maharashtra,WR,19.25023195,73.16017493,12/01/2019,421.8
Goa,WR,15.491997,73.81800065,12/01/2019,12.2
DNH,WR,20.26657819,73.0166178,12/01/2019,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,12/01/2019,168.1
Telangana,SR,18.1124,79.0193,12/01/2019,173.2
Karnataka,SR,12.57038129,76.91999711,12/01/2019,163.5
Kerala,SR,8.900372741,76.56999263,12/01/2019,69.9
Tamil Nadu,SR,12.92038576,79.15004187,12/01/2019,298.4
Pondy,SR,11.93499371,79.83000037,12/01/2019,8
Bihar,ER,25.78541445,87.4799727,12/01/2019,82.3
Jharkhand,ER,23.80039349,86.41998572,12/01/2019,24.3
Odisha,ER,19.82042971,85.90001746,12/01/2019,82.4
West Bengal,ER,22.58039044,88.32994665,12/01/2019,154.7
Sikkim,ER,27.3333303,88.6166475,12/01/2019,1
Arunachal Pradesh,NER,27.10039878,93.61660071,12/01/2019,2.1
Assam,NER,26.7499809,94.21666744,12/01/2019,30.1
Manipur,NER,24.79997072,93.95001705,12/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,12/01/2019,6
Mizoram,NER,23.71039899,92.72001461,12/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,12/01/2019,2
Tripura,NER,23.83540428,91.27999914,12/01/2019,4.6
Punjab,NR,31.51997398,75.98000281,13/01/2019,135.8
Haryana,NR,28.45000633,77.01999101,13/01/2019,141.4
Rajasthan,NR,26.44999921,74.63998124,13/01/2019,186.9
Delhi,NR,28.6699929,77.23000403,13/01/2019,89.4
UP,NR,27.59998069,78.05000565,13/01/2019,310
Uttarakhand,NR,30.32040895,78.05000565,13/01/2019,36.7
HP,NR,31.10002545,77.16659704,13/01/2019,26.4
J&K,NR,33.45,76.24,13/01/2019,32.7
Chandigarh,NR,30.71999697,76.78000565,13/01/2019,3.8
Chhattisgarh,WR,22.09042035,82.15998734,13/01/2019,87.6
Gujarat,WR,22.2587,71.1924,13/01/2019,301.2
MP,WR,21.30039105,76.13001949,13/01/2019,168.6
Maharashtra,WR,19.25023195,73.16017493,13/01/2019,408.3
Goa,WR,15.491997,73.81800065,13/01/2019,12.4
DNH,WR,20.26657819,73.0166178,13/01/2019,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,13/01/2019,164.9
Telangana,SR,18.1124,79.0193,13/01/2019,176.9
Karnataka,SR,12.57038129,76.91999711,13/01/2019,162.4
Kerala,SR,8.900372741,76.56999263,13/01/2019,72.4
Tamil Nadu,SR,12.92038576,79.15004187,13/01/2019,314.1
Pondy,SR,11.93499371,79.83000037,13/01/2019,8.4
Bihar,ER,25.78541445,87.4799727,13/01/2019,87.7
Jharkhand,ER,23.80039349,86.41998572,13/01/2019,24.8
Odisha,ER,19.82042971,85.90001746,13/01/2019,84.3
West Bengal,ER,22.58039044,88.32994665,13/01/2019,155.3
Sikkim,ER,27.3333303,88.6166475,13/01/2019,1
Arunachal Pradesh,NER,27.10039878,93.61660071,13/01/2019,2.1
Assam,NER,26.7499809,94.21666744,13/01/2019,30.1
Manipur,NER,24.79997072,93.95001705,13/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,13/01/2019,5.9
Mizoram,NER,23.71039899,92.72001461,13/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,13/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,13/01/2019,4.8
Punjab,NR,31.51997398,75.98000281,14/01/2019,139.3
Haryana,NR,28.45000633,77.01999101,14/01/2019,143.8
Rajasthan,NR,26.44999921,74.63998124,14/01/2019,195.2
Delhi,NR,28.6699929,77.23000403,14/01/2019,82.2
UP,NR,27.59998069,78.05000565,14/01/2019,319.5
Uttarakhand,NR,30.32040895,78.05000565,14/01/2019,35.5
HP,NR,31.10002545,77.16659704,14/01/2019,26.9
J&K,NR,33.45,76.24,14/01/2019,37.6
Chandigarh,NR,30.71999697,76.78000565,14/01/2019,3.5
Chhattisgarh,WR,22.09042035,82.15998734,14/01/2019,89.6
Gujarat,WR,22.2587,71.1924,14/01/2019,305.6
MP,WR,21.30039105,76.13001949,14/01/2019,170.7
Maharashtra,WR,19.25023195,73.16017493,14/01/2019,406.3
Goa,WR,15.491997,73.81800065,14/01/2019,12.4
DNH,WR,20.26657819,73.0166178,14/01/2019,18.5
Andhra Pradesh,SR,14.7504291,78.57002559,14/01/2019,163.3
Telangana,SR,18.1124,79.0193,14/01/2019,177
Karnataka,SR,12.57038129,76.91999711,14/01/2019,156.7
Kerala,SR,8.900372741,76.56999263,14/01/2019,69.6
Tamil Nadu,SR,12.92038576,79.15004187,14/01/2019,305.9
Pondy,SR,11.93499371,79.83000037,14/01/2019,8.3
Bihar,ER,25.78541445,87.4799727,14/01/2019,88.2
Jharkhand,ER,23.80039349,86.41998572,14/01/2019,24.8
Odisha,ER,19.82042971,85.90001746,14/01/2019,85.7
West Bengal,ER,22.58039044,88.32994665,14/01/2019,143.9
Sikkim,ER,27.3333303,88.6166475,14/01/2019,0.9
Arunachal Pradesh,NER,27.10039878,93.61660071,14/01/2019,2.1
Assam,NER,26.7499809,94.21666744,14/01/2019,31.7
Manipur,NER,24.79997072,93.95001705,14/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,14/01/2019,5.4
Mizoram,NER,23.71039899,92.72001461,14/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,14/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,14/01/2019,5
Punjab,NR,31.51997398,75.98000281,15/01/2019,141.1
Haryana,NR,28.45000633,77.01999101,15/01/2019,142.9
Rajasthan,NR,26.44999921,74.63998124,15/01/2019,185.4
Delhi,NR,28.6699929,77.23000403,15/01/2019,77.8
UP,NR,27.59998069,78.05000565,15/01/2019,326.7
Uttarakhand,NR,30.32040895,78.05000565,15/01/2019,34.3
HP,NR,31.10002545,77.16659704,15/01/2019,25.6
J&K,NR,33.45,76.24,15/01/2019,39.5
Chandigarh,NR,30.71999697,76.78000565,15/01/2019,3.2
Chhattisgarh,WR,22.09042035,82.15998734,15/01/2019,88
Gujarat,WR,22.2587,71.1924,15/01/2019,290.5
MP,WR,21.30039105,76.13001949,15/01/2019,170.2
Maharashtra,WR,19.25023195,73.16017493,15/01/2019,392.1
Goa,WR,15.491997,73.81800065,15/01/2019,12.4
DNH,WR,20.26657819,73.0166178,15/01/2019,17.3
